model,scenario,image_path,compute_time_sec
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Acalypha siamensis Oliv. ex Gage\IMG_20241109_133518.jpg,0.01990365982055664
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Cocos nucifera L\IMG_20241109_135438.jpg,0.014468193054199219
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Pandanus amaryllifolius Roxb\IMG_20241109_135340.jpg,0.014308691024780273
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Ctenanthe burle-marxii H.Kenn\IMG_20241109_144344.jpg,0.01590704917907715
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Duranta erecta L\IMG_20241106_100844.jpg,0.014878511428833008
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Duranta erecta L\IMG_20241106_100857.jpg,0.01605820655822754
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Tabernaemontana divaricata (L.) R.Br. ex Roem. & Schult\IMG_20241125_115057.jpg,0.021425962448120117
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Excoecaria cochinchinensis Lour\IMG_20241125_104206.jpg,0.016165971755981445
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Kalanchoe pinnata\IMG_20241125_094515.jpg,0.014513731002807617
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Terminalia mantaly H.Perrier\IMG_20241123_084249.jpg,0.013878107070922852
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Agathis borneensis Warburg\IMG_20241019_133752.jpg,0.013785123825073242
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Vatica oblongifolia Hook.f\IMG_20241125_111655.jpg,0.015972614288330078
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Hopea pedicellata (Brandis) Symington\IMG_20241125_085854.jpg,0.013846397399902344
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Garcinia mangostana L\IMG_20241109_150715.jpg,0.01549839973449707
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Mangifera indica L\IMG_20241115_103500.jpg,0.014228105545043945
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Acalypha siamensis Oliv. ex Gage\IMG_20241109_133420.jpg,0.021483421325683594
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Ctenanthe burle-marxii H.Kenn\IMG_20241109_144532.jpg,0.013897895812988281
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Furcraea foetida (L.) Haw\IMG_20241113_100101.jpg,0.015133857727050781
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Grammatophyllum speciosum\IMG_20241125_103348.jpg,0.022148609161376953
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Syzygium oleana\IMG_20241123_084746.jpg,0.01682901382446289
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Grammatophyllum speciosum\IMG_20241125_103417.jpg,0.013028621673583984
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Vatica oblongifolia Hook.f\IMG_20241125_111606.jpg,0.013617515563964844
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Pandanus amaryllifolius Roxb\IMG_20241109_141509.jpg,0.01293039321899414
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Mangifera indica L\IMG_20241115_103422.jpg,0.011530160903930664
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Strombosia ceylanica Gardn\IMG_20241106_103253.jpg,0.013528823852539062
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Furcraea foetida (L.) Haw\IMG_20241106_100807.jpg,0.014024734497070312
