model_name,scenario,train_time,history
ResNet50,no_hidden,3830.505871295929,"{'train_loss': [2.0074339059682993, 0.9267104387283325, 0.7448296048702338, 0.6306631591839668, 0.5733557161612388, 0.53968087549393, 0.546992225983204, 0.5051076263953478, 0.4765707582999498, 0.47223593329007807, 0.45843068468265047, 0.4340447412469448, 0.429981365838112, 0.41591274245427207, 0.4216532988043932, 0.380323041555209, 0.4170609588424365, 0.41729803696656836, 0.3839892626954959, 0.4041758241943824, 0.38642763579503087, 0.3862245378394922, 0.37352323205425186, 0.3920693229406308, 0.39164306154617895, 0.3627815414315615, 0.3522354637774137, 0.3597568148030685, 0.3734403866701401, 0.3540496994096499, 0.3659332782030106, 0.36488045511337425, 0.34891722534711545, 0.3492018020305878, 0.34898458319978837, 0.3271494057125006, 0.3168353474675081, 0.3764024946361016, 0.34854513024672484, 0.31379105647404987, 0.33483903664044845, 0.3664430198570093, 0.34078609188779807, 0.3252998389303684, 0.33273501442028924, 0.3374386240178958, 0.3421137121529915, 0.33186797610460184, 0.3409590789140799, 0.3032849802993811], 'train_acc': [54.77564102564103, 77.17948717948718, 80.32051282051282, 83.3173076923077, 84.53525641025641, 85.04807692307692, 84.61538461538461, 85.4326923076923, 86.21794871794872, 86.45833333333333, 85.9775641025641, 87.01923076923077, 87.5801282051282, 87.66025641025641, 87.53205128205128, 89.1826923076923, 87.54807692307692, 87.35576923076923, 88.97435897435898, 88.63782051282051, 88.6698717948718, 88.57371794871794, 89.16666666666667, 88.75, 88.46153846153847, 89.05448717948718, 89.59935897435898, 89.42307692307692, 89.32692307692308, 89.35897435897436, 89.1826923076923, 89.5673076923077, 89.75961538461539, 90.06410256410257, 89.85576923076923, 90.78525641025641, 90.8974358974359, 89.21474358974359, 89.69551282051282, 90.60897435897436, 89.7275641025641, 89.59935897435898, 90.30448717948718, 90.48076923076923, 90.11217948717949, 89.74358974358974, 90.17628205128206, 90.44871794871794, 90.0, 90.7051282051282], 'train_f1': [0.5451162446454217, 0.7705957999920254, 0.8026362466303371, 0.833115906973297, 0.8448690325598714, 0.8505249287664106, 0.8456248323031724, 0.8542071288322369, 0.8619566699242449, 0.8645014728348713, 0.8596119847521433, 0.8699102638825771, 0.8758531971782725, 0.8765994465050537, 0.8751969927941523, 0.8916814261957587, 0.8754535869987643, 0.8734353730816888, 0.8896028794408777, 0.8866507172348074, 0.886592144531596, 0.8855099016881611, 0.8915304778444112, 0.8874843209797874, 0.8844503899252231, 0.8904225884956186, 0.8957950251090635, 0.8942835267068013, 0.8931267890282505, 0.8934672735566238, 0.89185971724659, 0.8955712135446233, 0.897482251775388, 0.9004247912850829, 0.8984802653174178, 0.9077678389980867, 0.908850722659629, 0.8920704111222796, 0.8970125866666533, 0.9059857296439144, 0.8971392825080505, 0.8960396269428881, 0.9029387549905714, 0.9047086789814422, 0.900999728811036, 0.8974803339306857, 0.9017364247880659, 0.9043413394095776, 0.8998489133129813, 0.906967514336454], 'val_loss': [0.6647968680999667, 0.4378936870373918, 0.34157328098338635, 0.2851376810315826, 0.30372591475100974, 0.23681763705079403, 0.22904205121576585, 0.2128619412269341, 0.23568166791138423, 0.20834579931848923, 0.21668155488776272, 0.20622247512962538, 0.1887370269457098, 0.1759285282154584, 0.20265737016106983, 0.16103036907497487, 0.19986895174182281, 0.18369508076176055, 0.18029819963535293, 0.17261667366940556, 0.16153462129448393, 0.1678292781908375, 0.15571520421285534, 0.1920845754792445, 0.15281094657092012, 0.17695132550255302, 0.19254957933108274, 0.1829182968498219, 0.16283389839051204, 0.17867638237146996, 0.17292020136840774, 0.14379379754960395, 0.14548257933598066, 0.1652482828481939, 0.1381774715598343, 0.16989251666437133, 0.16030124997780149, 0.15903725463914292, 0.15465600905131804, 0.13803011206201107, 0.1606293091006302, 0.15680448423161478, 0.21448338264708636, 0.12798155204520864, 0.16419707761554786, 0.15558545320327444, 0.14567445399577986, 0.15071473375324876, 0.1490617239341549, 0.15714247240518725], 'val_acc': [86.48388648388648, 88.84078884078885, 90.28379028379028, 92.20779220779221, 90.95719095719096, 93.4102934102934, 93.6026936026936, 94.37229437229438, 92.88119288119289, 93.6988936988937, 93.74699374699375, 93.84319384319384, 94.42039442039442, 94.75709475709476, 93.65079365079364, 95.23809523809524, 94.08369408369408, 94.51659451659452, 94.66089466089466, 95.18999518999519, 95.47859547859548, 95.47859547859548, 95.18999518999519, 94.08369408369408, 95.28619528619528, 94.9013949013949, 94.32419432419432, 94.85329485329486, 95.18999518999519, 94.37229437229438, 94.61279461279462, 95.81529581529581, 96.00769600769601, 94.997594997595, 95.9114959114959, 94.61279461279462, 94.85329485329486, 95.47859547859548, 95.18999518999519, 96.15199615199616, 95.62289562289563, 94.94949494949495, 93.50649350649351, 96.15199615199616, 95.52669552669553, 95.81529581529581, 95.67099567099567, 95.57479557479557, 96.1038961038961, 95.57479557479557], 'val_f1': [0.8600676889604753, 0.8842632747547626, 0.8997830035895116, 0.9197639486920253, 0.9092800532339064, 0.9331563817816699, 0.9356153999252335, 0.942832876284635, 0.9282815470466603, 0.9364467913782326, 0.9362184320807276, 0.9380974427724241, 0.9447681219583027, 0.9477819820244215, 0.9369870684502644, 0.9521518381968239, 0.940231044977038, 0.9444708824019271, 0.9479071079331057, 0.9521262576316288, 0.9554699920027603, 0.955216773014474, 0.9523609666646149, 0.9410672348077694, 0.9527207309688541, 0.9480861489470181, 0.9429583563759508, 0.9487573254361013, 0.9516638331497608, 0.944053364978887, 0.9459839139958723, 0.957977514544371, 0.9597848108335445, 0.9497452080890084, 0.9592151565829992, 0.9458205660123833, 0.9482305145521861, 0.9550928383908752, 0.9526821646086912, 0.9614841616021084, 0.956982245056298, 0.9496274743460771, 0.9359281012899309, 0.9613291542821144, 0.9555999469100952, 0.9586629830921402, 0.9572845725393557, 0.9562101842865373, 0.9614709122409202, 0.9558645599252181]}"
ResNet50,with_hidden,3831.400132417679,"{'train_loss': [2.92226304152073, 1.7252112645369309, 1.3765426761064774, 1.2457394725237136, 1.1728627406633818, 1.092156842427376, 1.0457960058481266, 1.0344200846476432, 1.0243124313843557, 0.965702452415075, 0.9601587437666379, 0.9761936867848421, 0.9324854968450008, 0.9181736139150766, 0.9011371777607844, 0.8855059671096313, 0.9009612286702181, 0.8696380480741843, 0.8528828306840016, 0.8657005144999578, 0.8692367086043724, 0.8240980947629, 0.8699651394134913, 0.8270354730196489, 0.8319547145794599, 0.8523657609254885, 0.8281413029401731, 0.8409796937918051, 0.8406459267322833, 0.8082514026226142, 0.8340761427695934, 0.8373694633826231, 0.8080255982203361, 0.7949607248489673, 0.7954697468341925, 0.7977515919086261, 0.7978250083250877, 0.7879458546638489, 0.8023167371749877, 0.7554705390563378, 0.8127377639214198, 0.7915533087192438, 0.7698557052092675, 0.7831189895287538, 0.7636843184630077, 0.7705319231901413, 0.7936781038840611, 0.7813780737228883, 0.7800493837931217, 0.7816954035025376], 'train_acc': [26.84294871794872, 52.532051282051285, 61.65064102564103, 64.48717948717949, 66.74679487179488, 68.8301282051282, 69.4551282051282, 69.87179487179488, 70.40064102564102, 72.51602564102564, 71.89102564102564, 71.77884615384616, 72.24358974358974, 72.99679487179488, 73.91025641025641, 74.13461538461539, 73.6698717948718, 73.97435897435898, 74.9198717948718, 74.1025641025641, 74.53525641025641, 75.5448717948718, 74.00641025641026, 74.90384615384616, 75.59294871794872, 74.88782051282051, 75.14423076923077, 75.56089743589743, 74.87179487179488, 75.84935897435898, 75.72115384615384, 74.95192307692308, 75.9775641025641, 76.07371794871794, 76.37820512820512, 75.73717948717949, 76.49038461538461, 75.92948717948718, 76.29807692307692, 77.64423076923077, 75.8974358974359, 76.65064102564102, 77.01923076923077, 76.6826923076923, 77.82051282051282, 76.92307692307692, 76.13782051282051, 77.24358974358974, 76.97115384615384, 77.00320512820512], 'train_f1': [0.25728075935101474, 0.5145580656711275, 0.6095868820826797, 0.6395137809634625, 0.6632765274027025, 0.6843979085360183, 0.6914021808110333, 0.6958301730626525, 0.7010403468733823, 0.7231214321312874, 0.7158262765387209, 0.7157596138379131, 0.720519580267334, 0.7274778135981241, 0.7375021034845551, 0.7391480272135276, 0.7348977293473938, 0.7372074889669853, 0.7474713178391446, 0.738743929327624, 0.7438384798061557, 0.7536292599523035, 0.7381515752588121, 0.7477258280241885, 0.7540139804540792, 0.7473464782125426, 0.7505058812673975, 0.7538058488411394, 0.7468821216581655, 0.7572579264479216, 0.7556158699596478, 0.7480282603969854, 0.7585663583372606, 0.7597136538942884, 0.7626683643941258, 0.7557297009144398, 0.7636018783077714, 0.7577522096261996, 0.7620192699639969, 0.7750433844122343, 0.7578836521232699, 0.7653533513125453, 0.768757498441454, 0.7659486616300654, 0.7764243990430444, 0.7680955445114688, 0.7604818405462811, 0.7715933692266306, 0.7683137461326505, 0.7683846691653563], 'val_loss': [1.3128149001399962, 0.7081681141318926, 0.5310878225276537, 0.5062990076642818, 0.41435067835136236, 0.39043432377375564, 0.35353215236956825, 0.3206809949328717, 0.31075495457121705, 0.2938329888836531, 0.2997280454183353, 0.28291398614327845, 0.28364577693949816, 0.2535695376751757, 0.28326024476012296, 0.2674195948520522, 0.25250390900487996, 0.2565733790021352, 0.24785744747731112, 0.22486319154780493, 0.24174595497254714, 0.23508774435654742, 0.2160287822609944, 0.2209864671567402, 0.23751923859481372, 0.22871180565209326, 0.21561228998987333, 0.20783515241879122, 0.22351963155732246, 0.19907314409013566, 0.20816174961867087, 0.2056593245689136, 0.20259132827961385, 0.21130519899073316, 0.2004938781595851, 0.21582378968936913, 0.20401126818871193, 0.20744458335833002, 0.19745160574330883, 0.19438856282532832, 0.2128350047973406, 0.21051268162745168, 0.19847990017489114, 0.18976653741198687, 0.1862091320486087, 0.18836107681264153, 0.20690104261633346, 0.19734918680391442, 0.19242426865114873, 0.18450779921152127], 'val_acc': [74.55507455507455, 83.83838383838383, 86.24338624338624, 87.3977873977874, 89.99518999518999, 89.17748917748918, 90.37999037999037, 91.1014911014911, 91.67869167869168, 91.1976911976912, 90.76479076479076, 92.01539201539201, 92.11159211159212, 92.78499278499278, 92.15969215969216, 91.91919191919192, 92.25589225589225, 92.35209235209236, 92.4001924001924, 93.16979316979317, 92.68879268879269, 92.4963924963925, 93.26599326599326, 93.6988936988937, 92.88119288119289, 92.68879268879269, 93.55459355459355, 93.6026936026936, 92.78499278499278, 94.03559403559403, 93.45839345839346, 94.17989417989418, 94.17989417989418, 93.8912938912939, 94.17989417989418, 93.31409331409331, 93.45839345839346, 93.79509379509379, 94.17989417989418, 94.08369408369408, 93.79509379509379, 93.65079365079364, 94.03559403559403, 94.42039442039442, 94.03559403559403, 94.42039442039442, 93.65079365079364, 93.84319384319384, 94.22799422799423, 93.84319384319384], 'val_f1': [0.7291100874902103, 0.8309215372880424, 0.8581342500078969, 0.8744063098157037, 0.8985539445242386, 0.8907040378057438, 0.903613986708111, 0.9106423304199224, 0.9168104683306625, 0.9118625880264856, 0.9078630258587563, 0.9195609183515037, 0.9198630441612816, 0.9276946232136483, 0.9226815925387469, 0.9180704232546419, 0.9213374659299647, 0.922395344597477, 0.9221374870460232, 0.9320376290396429, 0.9265953166097585, 0.9246874778201982, 0.9330907811698606, 0.9371297458091217, 0.9286869877159986, 0.9264051035471516, 0.9344055413783008, 0.9357863697183462, 0.9276110820988188, 0.9410052662954491, 0.9347655518035667, 0.9418427466047264, 0.9418373102900757, 0.9399587265634762, 0.9418435489566922, 0.9327103981843453, 0.9347363141285783, 0.9387710915309527, 0.9420560876738896, 0.9406258859943647, 0.9379887313565108, 0.9371653386652105, 0.9397228259518194, 0.9445472384126684, 0.9409010510432402, 0.9443430163601995, 0.9368714247276331, 0.9373629168804124, 0.942193295614665, 0.9383260705366373]}"
DenseNet121,no_hidden,3942.0612919330597,"{'train_loss': [2.4313161752162835, 1.1423967868853837, 0.8589858810106913, 0.7380332069519239, 0.6333315817973553, 0.5855451290424053, 0.551873014599849, 0.5075973114524133, 0.49451142694705574, 0.46228012427305565, 0.43881179529886977, 0.4512652289408904, 0.4227431682439951, 0.404046500990024, 0.400600075454284, 0.3988633705637394, 0.3838767051887818, 0.3846405410613769, 0.3795078170987276, 0.35149649805747546, 0.35149612501263616, 0.3436578224484737, 0.3478524225835617, 0.3336861024873379, 0.3445669756867947, 0.3381453003256749, 0.36846395559035816, 0.33058322190474243, 0.3242546808834259, 0.33479629575442044, 0.31181863741232796, 0.3143914686754728, 0.328941322165804, 0.3193608188858399, 0.3243386433674739, 0.30840355614439036, 0.3065088648826648, 0.3134145287749095, 0.31535724258193604, 0.3164576039291345, 0.30625455824610515, 0.3190152691342892, 0.3100559258021605, 0.32407160363136195, 0.3147702981073123, 0.2996883088006423, 0.29411776810884477, 0.2874920359406716, 0.3185001142896139, 0.3097617881897932], 'train_acc': [48.86217948717949, 76.9551282051282, 80.59294871794872, 82.83653846153847, 85.14423076923077, 85.65705128205128, 86.4423076923077, 87.8525641025641, 87.2275641025641, 87.96474358974359, 88.75, 87.7724358974359, 88.68589743589743, 88.92628205128206, 89.07051282051282, 88.76602564102564, 89.08653846153847, 89.4551282051282, 89.75961538461539, 90.46474358974359, 90.22435897435898, 90.17628205128206, 90.1923076923077, 90.84935897435898, 89.95192307692308, 90.67307692307692, 89.11858974358974, 90.76923076923077, 90.24038461538461, 90.24038461538461, 90.99358974358974, 90.8974358974359, 90.52884615384616, 91.0576923076923, 90.8173076923077, 91.07371794871794, 90.78525641025641, 90.72115384615384, 90.96153846153847, 90.8173076923077, 90.83333333333333, 90.48076923076923, 90.86538461538461, 90.75320512820512, 90.7051282051282, 91.37820512820512, 91.58653846153847, 91.6025641025641, 90.67307692307692, 90.75320512820512], 'train_f1': [0.48215734879236555, 0.7670906976631662, 0.8058350055356486, 0.8279618365805805, 0.851099597350626, 0.8564935865017597, 0.8641367739842369, 0.8782772638024614, 0.8721623655091265, 0.8793690873616755, 0.8872223912504539, 0.8775434921991188, 0.8865433256333274, 0.8894294916232313, 0.8907133658085333, 0.8873636788563581, 0.8909862280426896, 0.8942317415400717, 0.8973425572882248, 0.9046290764337841, 0.9021890820642466, 0.9015690015406024, 0.9018154887921633, 0.9084222080000324, 0.8994793411301885, 0.9068233740758445, 0.8910544426849296, 0.9074322893308037, 0.9023777199736481, 0.9023356424416371, 0.9097643232263967, 0.9087260305538083, 0.9051394814628484, 0.9105441890815057, 0.9080147168447025, 0.9105360081453766, 0.9078076321110088, 0.9071176206649627, 0.9095409289179959, 0.908031949424678, 0.9083062002633568, 0.9047319139755311, 0.9085491182640103, 0.907466799252571, 0.9070507478012413, 0.913642763931345, 0.9158952625283961, 0.9158803048953654, 0.9064922927729057, 0.9075449592524206], 'val_loss': [1.0669548290173787, 0.6181975675925089, 0.4598693275692487, 0.3780959950811075, 0.32834330308660975, 0.29880523991275143, 0.2627677080750523, 0.24401314317922054, 0.2459433347975881, 0.22425949599319722, 0.2178891493673219, 0.21613462247803786, 0.2044537952344483, 0.19986571809845857, 0.18519382706308893, 0.19143286758622566, 0.17459093163640182, 0.18159663253618352, 0.18354756677162196, 0.17430295564230672, 0.17103644199902304, 0.1877940711764661, 0.15865455549918098, 0.17249386884655557, 0.1669162551085355, 0.16758338497264447, 0.1683636340883817, 0.16557589901441877, 0.16975405260995782, 0.15786810548095362, 0.164811600633091, 0.1639213166582636, 0.17767942883074284, 0.17013370632559074, 0.16253810997303358, 0.1529545601557702, 0.15630736469930398, 0.14489596321580359, 0.1619002415067075, 0.1683708442264864, 0.15161037752194265, 0.15412273563573628, 0.1577445359106797, 0.14125026056042167, 0.15180765096538984, 0.16664481017749333, 0.1428270559850229, 0.14969197744051171, 0.14873569367158693, 0.1533566490192004], 'val_acc': [82.78018278018278, 89.22558922558923, 90.37999037999037, 92.44829244829245, 93.26599326599326, 93.6988936988937, 94.42039442039442, 94.9013949013949, 93.6988936988937, 94.56469456469456, 94.8051948051948, 94.56469456469456, 94.75709475709476, 95.57479557479557, 95.62289562289563, 95.0937950937951, 95.23809523809524, 94.8051948051948, 95.67099567099567, 95.71909571909572, 95.9114959114959, 95.04569504569504, 95.81529581529581, 94.9013949013949, 95.23809523809524, 95.33429533429533, 95.52669552669553, 95.47859547859548, 95.38239538239539, 95.67099567099567, 95.0937950937951, 95.76719576719577, 95.33429533429533, 95.38239538239539, 95.57479557479557, 96.15199615199616, 95.81529581529581, 96.3924963924964, 95.62289562289563, 95.47859547859548, 95.71909571909572, 95.81529581529581, 95.71909571909572, 96.2000962000962, 95.86339586339587, 95.18999518999519, 96.1038961038961, 95.95959595959596, 96.2000962000962, 95.86339586339587], 'val_f1': [0.8162242241485369, 0.8903536019730011, 0.9004655145067543, 0.9233312665134845, 0.9330351942051459, 0.9364050927661232, 0.9449769332162667, 0.9490616621999675, 0.9364456465100823, 0.9452067792144848, 0.9483807666294031, 0.9458819329605576, 0.9474636166711291, 0.9558095756473224, 0.9564872086411011, 0.9509479482405201, 0.952297930885776, 0.9484432212400994, 0.9574194902281717, 0.9566249407239111, 0.959318877214112, 0.9504962679567602, 0.9586295282646944, 0.9495016636303569, 0.9526714392196448, 0.9534203550350581, 0.9555669403231927, 0.9546735475590427, 0.954623379233949, 0.9570121543370119, 0.9512283498365455, 0.9577598742447413, 0.9536551268756235, 0.9539070470565615, 0.9558330038023833, 0.9615585167132702, 0.9585002554845367, 0.9639429252316798, 0.9558099477245936, 0.9551833464439018, 0.9572547727544618, 0.9582761338019833, 0.957885210396172, 0.9622161870223283, 0.9591609571375991, 0.9524715500890342, 0.9613863916562674, 0.9599480097080502, 0.9621805983738967, 0.9586836500671357]}"
DenseNet121,with_hidden,3948.527492046356,"{'train_loss': [2.6665831247965497, 1.394436417787503, 1.0939953354688792, 0.9463046660790077, 0.8863324321233309, 0.8551009300427559, 0.7831879432384784, 0.7900414480612828, 0.7083636627747463, 0.7069141092972878, 0.7066028455893199, 0.6822968672483395, 0.687892913665527, 0.6601173735581911, 0.6724884976179172, 0.6585524861629193, 0.6317724698629135, 0.6313894047186925, 0.6121941953133314, 0.609889962657904, 0.5888871960532971, 0.5936812920448108, 0.5905914477048776, 0.5899363231200438, 0.5970872700214386, 0.6029278625280429, 0.6085437196951646, 0.5757061099776855, 0.5648752260666627, 0.5916793093849451, 0.5540403881898293, 0.5714721218515665, 0.5775901737503516, 0.5738486882203665, 0.5467784015031961, 0.5744053315657836, 0.5013609815484438, 0.5785804816927665, 0.5432767924589988, 0.5472500953918848, 0.5575840436113186, 0.569887600457057, 0.5720935985828057, 0.5750358219712208, 0.5478367249935101, 0.5476801462280445, 0.5796205774331704, 0.5215651289774821, 0.5387012888605778, 0.5242333749165902], 'train_acc': [33.830128205128204, 62.62820512820513, 69.53525641025641, 73.62179487179488, 74.61538461538461, 75.68910256410257, 77.43589743589743, 77.61217948717949, 79.00641025641026, 79.4551282051282, 78.89423076923077, 79.31089743589743, 79.55128205128206, 80.57692307692308, 79.95192307692308, 80.84935897435898, 81.13782051282051, 81.45833333333333, 82.21153846153847, 81.89102564102564, 82.59615384615384, 82.27564102564102, 82.66025641025641, 82.33974358974359, 82.46794871794872, 82.38782051282051, 82.51602564102564, 83.07692307692308, 83.06089743589743, 82.19551282051282, 82.90064102564102, 83.18910256410257, 82.40384615384616, 82.64423076923077, 83.81410256410257, 83.17307692307692, 84.93589743589743, 83.18910256410257, 84.55128205128206, 83.73397435897436, 83.91025641025641, 82.99679487179488, 83.15705128205128, 83.01282051282051, 83.68589743589743, 83.9423076923077, 82.8525641025641, 84.35897435897436, 84.03846153846153, 84.40705128205128], 'train_f1': [0.3270737274906754, 0.6185418477416487, 0.6916781424893123, 0.7343203329831938, 0.7441980287956377, 0.7553579691939771, 0.7726966851010318, 0.7750602049468752, 0.7890476584599238, 0.793287519544548, 0.7882865068135729, 0.792083132720278, 0.7944304779046033, 0.804736965916054, 0.7985006733479293, 0.8078981590570857, 0.8104805741708178, 0.8139362920389352, 0.8213411987287189, 0.8183283038782044, 0.825168065350076, 0.8223295687355765, 0.825661475008386, 0.8228952964798139, 0.8235844578233753, 0.8230754492703167, 0.8248369446954136, 0.8300609177314187, 0.8301232237302062, 0.8214513795480722, 0.8281983060027045, 0.8314426422426545, 0.8233016352591638, 0.8260747126001957, 0.837804638827958, 0.8312805517182065, 0.8487002185712154, 0.8320059206249704, 0.8448981850548046, 0.8368234355643084, 0.8388962018844945, 0.8294453389195157, 0.8307935623072814, 0.8296700585406517, 0.836176471827854, 0.8391889497010427, 0.8280391742242992, 0.8433916838247281, 0.8400926850242869, 0.8432693083747421], 'val_loss': [1.1450210177250468, 0.5950728286740412, 0.4520581371297396, 0.3681042249125893, 0.33261247993433, 0.2856920766695696, 0.3011337365379925, 0.25615937667376953, 0.22901072060333644, 0.23570651351910993, 0.21554729548346085, 0.20817945870880383, 0.21284405249760036, 0.2081785664650441, 0.19186825657862777, 0.19558414911556524, 0.20449841331678006, 0.18375407946853756, 0.18243829017489818, 0.18154304954767614, 0.17736822631104368, 0.1650317911880235, 0.15611760467989705, 0.16871482996693837, 0.1768878766645988, 0.17625560275869853, 0.1815641142711036, 0.16190887052080216, 0.16713757536245466, 0.16370777917961793, 0.15470170257074942, 0.1563639510261677, 0.18331496375234382, 0.1700131942754582, 0.18885717068105837, 0.15754360234711592, 0.16187662159542035, 0.15992192277181294, 0.15161021237098982, 0.147332870925451, 0.15058798306820284, 0.15970653035953916, 0.14288062647162225, 0.14237165917651823, 0.1397098668360659, 0.14351666130014876, 0.16206518211457996, 0.16143038127620174, 0.15116403587715732, 0.16088683745611465], 'val_acc': [75.85377585377586, 87.15728715728716, 89.56228956228956, 91.24579124579125, 91.24579124579125, 92.97739297739298, 92.25589225589225, 92.92929292929293, 94.17989417989418, 93.65079365079364, 93.8912938912939, 93.74699374699375, 94.03559403559403, 93.84319384319384, 94.46849446849447, 94.66089466089466, 94.75709475709476, 94.94949494949495, 94.94949494949495, 94.8051948051948, 95.33429533429533, 95.62289562289563, 95.81529581529581, 95.14189514189515, 95.38239538239539, 94.75709475709476, 94.13179413179414, 95.43049543049543, 95.0937950937951, 95.81529581529581, 95.28619528619528, 95.28619528619528, 94.85329485329486, 95.28619528619528, 94.37229437229438, 95.71909571909572, 95.9114959114959, 95.47859547859548, 95.76719576719577, 96.05579605579605, 96.2000962000962, 95.81529581529581, 95.9114959114959, 96.29629629629629, 96.2000962000962, 96.15199615199616, 95.47859547859548, 96.00769600769601, 96.1038961038961, 95.62289562289563], 'val_f1': [0.7373494407452272, 0.8687065885606253, 0.8936486741992081, 0.9119557114076926, 0.9127716723099001, 0.9300576138748663, 0.9208099765423221, 0.9293828478678995, 0.9414168381527394, 0.9367751008499255, 0.9392276156113938, 0.9372862221818209, 0.9416019126082926, 0.9382663608540406, 0.9453995225198722, 0.9463065672739623, 0.948452354878605, 0.9498164487332258, 0.9496232907097102, 0.9484647778241796, 0.953615256017097, 0.9563461107532496, 0.9579649725365207, 0.9511730922537274, 0.954430367058155, 0.9477397864647703, 0.9409013026917858, 0.9543920793389239, 0.950877270796178, 0.9581517310644259, 0.9523958607657914, 0.95265221176129, 0.9487192844306335, 0.9530392274805083, 0.944097454607674, 0.9575335436571559, 0.9591988526648406, 0.9548266133543657, 0.9580064275208477, 0.9608452680719671, 0.9619232149168073, 0.9578560076616964, 0.9591171822602652, 0.9630879678028111, 0.962425850698737, 0.9618743613463201, 0.9551474913792265, 0.9604597263215523, 0.9613408055475035, 0.9565076809720716]}"
